team,elo_rating,goals_for_roll10,goals_against_roll10,points_roll10,win_rate_roll10,draw_rate_roll10,loss_rate_roll10,last_match_date,matches_used
Gotland,1449.4722515395322,2.9,1.9,0.9,0.3,0.0,0.7,2017-06-29,10
Gozo,1471.9217484346307,2.6,1.4,1.4,0.4,0.2,0.4,2025-07-17,10
Greece,1760.7398174643351,1.6,1.5,1.2,0.3,0.3,0.4,2026-06-04,10
Greenland,1477.227686342062,1.4,2.2,1.5,0.4,0.3,0.3,2024-06-01,10
Grenada,1299.7271535175983,1.7,2.1,1.5,0.5,0.0,0.5,2026-05-16,10
Guadeloupe,1540.3979170381986,1.5,1.1,1.6,0.5,0.1,0.4,2025-06-24,10
Guam,1039.350224366167,1.4,2.4,0.7,0.2,0.1,0.7,2026-06-03,10
Guatemala,1634.5850742843572,1.1,2.2,0.9,0.2,0.3,0.5,2026-06-04,10
Guernsey,1754.652557300526,2.3,1.0,1.8,0.6,0.0,0.4,2023-07-13,10
Guinea,1571.0168140831295,1.2,0.9,1.3,0.3,0.4,0.3,2026-06-04,10
Guinea-Bissau,1369.3454887771602,0.6,1.7,0.5,0.1,0.2,0.7,2026-03-31,10
Guyana,1500.2426032223989,2.6,1.2,2.4,0.8,0.0,0.2,2026-03-30,10
Găgăuzia,1435.2663235731095,0.6666666666666666,3.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,2006-11-21,3
Haiti,1718.1251070255037,1.5,1.0,1.5,0.4,0.3,0.3,2026-06-02,10
Hitra,1354.6073354279492,2.3,2.9,1.3,0.4,0.1,0.5,2025-07-17,10
Hmong,1460.8912950689446,2.0,3.3333333333333335,1.0,0.3333333333333333,0.0,0.6666666666666666,2023-08-08,3
Honduras,1689.808690427947,1.0,0.7,1.4,0.3,0.5,0.2,2026-03-31,10
Hong Kong,1361.5175748406868,1.9,0.9,1.6,0.4,0.4,0.2,2025-11-18,10
Hungary,1726.4145122045613,1.4,1.3,1.5,0.4,0.3,0.3,2026-03-31,10
Iceland,1602.3781414975406,1.6,1.9,0.9,0.2,0.3,0.5,2026-05-31,10
India,1264.8959104762764,0.6,1.1,0.6,0.1,0.3,0.6,2026-05-30,10
Indonesia,1485.9572395740572,1.5,1.6,1.3,0.4,0.1,0.5,2026-03-30,10
Iran,1888.720390738113,1.7,0.6,1.7,0.5,0.2,0.3,2026-06-04,10
Iraq,1748.1676789522703,1.1,0.8,1.8,0.5,0.3,0.2,2026-06-04,10
Iraqi Kurdistan,1647.8251150066799,2.3,0.9,1.5,0.3,0.6,0.1,2016-06-04,10
Isle of Man,1716.9485759697977,3.5,1.2,2.1,0.7,0.0,0.3,2025-07-18,10
Isle of Wight,1664.1214548436642,1.9,0.9,2.2,0.7,0.1,0.2,2023-07-13,10
Israel,1655.192474984854,1.9,1.7,1.7,0.5,0.2,0.3,2026-06-03,10
Italy,1879.2341904625703,2.5,1.0,2.5,0.8,0.1,0.1,2026-06-03,10
Ivory Coast,1799.019868650151,1.9,0.8,2.2,0.7,0.1,0.2,2026-06-04,10
Jamaica,1670.8933732996886,1.1,0.7,1.7,0.5,0.2,0.3,2026-05-30,10
Japan,1988.638674456006,1.9,0.6,2.3,0.7,0.2,0.1,2026-05-31,10
Jersey,1814.3975304136798,2.7,1.0,2.5,0.8,0.1,0.1,2025-07-18,10
Jordan,1768.299301040346,1.9,1.6,1.7,0.5,0.2,0.3,2026-05-31,10
Kabylia,1456.7730942415883,1.3333333333333333,2.5,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.5,2018-06-09,6
Kazakhstan,1477.0622781667817,1.0,1.5,1.1,0.3,0.2,0.5,2026-03-31,10
Kenya,1469.8407204744206,1.4,1.7,1.5,0.4,0.3,0.3,2026-06-04,10
Kernow,1610.3213793532436,2.888888888888889,0.8888888888888888,2.4444444444444446,0.7777777777777778,0.1111111111111111,0.1111111111111111,2023-07-16,9
Kiribati,1292.8398792156745,0.5,10.75,0.0,0.0,0.0,1.0,2011-09-05,8
Kosovo,1719.0542279688948,1.5,1.3,1.7,0.5,0.2,0.3,2026-05-31,10
Kurdistan,1568.8194987059726,2.4,0.4,2.6,0.8,0.2,0.0,2013-06-28,5
Kuwait,1470.302149314112,1.3,2.2,0.9,0.2,0.3,0.5,2025-12-09,10
Kyrgyzstan,1464.5126084396031,1.2,2.0,0.8,0.2,0.2,0.6,2026-03-28,10
Kárpátalja,1608.868762326823,2.4,1.2,1.9,0.5,0.4,0.1,2018-06-09,10
Laos,978.6100212272879,1.1,2.9,0.5,0.1,0.2,0.7,2025-11-19,10
Latvia,1317.0303667047829,0.5,1.5,0.7,0.1,0.4,0.5,2025-11-16,10
Lebanon,1462.7456517037065,2.1,0.5,1.8,0.5,0.3,0.2,2025-11-26,10
Lesotho,1414.4596917636613,0.7,1.9,0.9,0.2,0.3,0.5,2026-06-04,10
Liberia,1428.790409683834,1.1,1.9,0.9,0.2,0.3,0.5,2026-03-31,10
Libya,1530.1775846253934,1.1,0.9,1.5,0.3,0.6,0.1,2026-03-31,10
Liechtenstein,974.0049027060221,0.3,3.5,0.3,0.1,0.0,0.9,2026-06-04,10
Lithuania,1323.1765097732675,0.6,1.9,0.6,0.1,0.3,0.6,2026-03-29,10
Luhansk PR,1489.2715609459472,1.5,2.0,1.1666666666666667,0.3333333333333333,0.16666666666666666,0.5,2019-12-08,6
Luxembourg,1407.5260025529942,0.2,1.8,0.1,0.0,0.1,0.9,2026-06-03,10
Macau,897.9364833398259,0.3,2.8,0.1,0.0,0.1,0.9,2026-03-29,10
Madagascar,1510.7825752468711,1.7,1.9,1.6,0.5,0.1,0.4,2026-06-02,10
Madrid,1489.410267893024,1.0,2.0,0.0,0.0,0.0,1.0,2013-06-07,1
Malawi,1440.0405011695132,1.1,0.8,1.4,0.4,0.2,0.4,2026-03-31,10
Malaysia,1499.9567694323569,1.9,0.6,2.3,0.7,0.2,0.1,2025-11-18,10
Maldives,1039.1911762834168,0.6,2.0,0.4,0.1,0.1,0.8,2026-06-01,10
Mali,1709.2159356566306,1.2,0.9,1.4,0.3,0.5,0.2,2026-06-04,10
Malta,1300.1410825042337,0.9,2.5,0.8,0.2,0.2,0.6,2026-06-01,10
Mapuche,1508.4707999873015,1.5,1.0,1.5,0.5,0.0,0.5,2022-06-18,2
Marshall Islands,1418.3127533920494,1.0,3.5,0.0,0.0,0.0,1.0,2025-08-16,2
Martinique,1492.0420096314563,0.6,1.2,0.7,0.1,0.4,0.5,2026-03-29,10
Matabeleland,1484.5247766855616,0.875,1.75,1.375,0.375,0.25,0.375,2022-05-25,8
Maule Sur,1528.345836909456,1.0,0.0,3.0,1.0,0.0,0.0,2022-06-19,2
Mauritania,1426.6601797426406,0.5,1.2,0.7,0.1,0.4,0.5,2026-03-27,10
Mauritius,1218.4533608700535,0.6,1.5,0.6,0.1,0.3,0.6,2025-10-13,10
Mayotte,1468.9596892240347,1.2,0.8,1.7,0.5,0.2,0.3,2023-08-26,10
Menorca,1571.9924582109886,1.8,1.2,1.4,0.4,0.2,0.4,2023-07-13,10
Mexico,1935.4670278394615,1.6,0.4,2.1,0.6,0.3,0.1,2026-06-04,10
Micronesia,1328.3786909545934,1.1428571428571428,8.428571428571429,0.42857142857142855,0.14285714285714285,0.0,0.8571428571428571,2003-07-07,7
Moldova,1265.1209714436266,0.6,3.3,0.1,0.0,0.1,0.9,2026-03-30,10
Monaco,1453.2042103550018,1.3,2.9,1.1,0.3,0.2,0.5,2017-04-29,10
Mongolia,1030.5545534290757,0.5,2.3,0.6,0.2,0.0,0.8,2026-05-31,10
Montenegro,1474.2900356163786,1.3,2.0,1.3,0.4,0.1,0.5,2026-06-01,10
Montserrat,1260.9170411852103,0.6,2.0,0.6,0.2,0.0,0.8,2025-06-10,10
Morocco,1971.902253085262,2.2,0.3,2.4,0.7,0.3,0.0,2026-06-02,10
Mozambique,1499.0748035372144,1.0,1.8,1.0,0.3,0.1,0.6,2026-01-05,10
Myanmar,1153.1778093731339,1.1,2.2,1.1,0.3,0.2,0.5,2025-10-14,10
Namibia,1428.6829807630093,0.7,1.6,0.8,0.2,0.2,0.6,2026-03-28,10
Nepal,1141.1985150302714,0.7,1.1,0.9,0.2,0.3,0.5,2025-11-18,10
Netherlands,1973.3751125681597,2.8,0.7,2.1,0.6,0.3,0.1,2026-06-03,10
New Caledonia,1612.478698228409,2.3,1.0,2.0,0.6,0.2,0.2,2026-03-26,10
New Zealand,1718.8418835899479,0.8,1.9,0.4,0.1,0.1,0.8,2026-06-02,10
Nicaragua,1507.7785381132555,0.6,1.8,0.8,0.2,0.2,0.6,2026-05-29,10
Niger,1501.291793916882,1.3,1.5,1.5,0.4,0.3,0.3,2026-03-31,10
Nigeria,1838.7333879364485,2.0,0.6,2.2,0.6,0.4,0.0,2026-06-03,10
North Korea,1512.288786183247,1.0,2.1,0.4,0.0,0.4,0.6,2025-06-10,10
North Macedonia,1611.273187510983,0.8,1.8,0.8,0.1,0.5,0.4,2026-06-01,10
Northern Cyprus,1702.1012533811963,2.8,0.8,2.0,0.5,0.5,0.0,2018-06-09,10
Northern Ireland,1627.4297894255444,1.0,0.9,1.6,0.5,0.1,0.4,2026-06-04,10
Northern Mariana Islands,1011.6473180274612,1.0,4.4,0.8,0.2,0.2,0.6,2024-04-07,10
Norway,1917.633747283176,3.1,0.7,2.3,0.7,0.2,0.1,2026-06-01,10
Occitania,1687.041016234245,3.3,0.6,2.4,0.7,0.3,0.0,2014-12-30,10
Oman,1598.6613901735946,0.7,1.1,1.0,0.2,0.4,0.4,2025-12-08,10
Orkney,1407.6987839572507,1.9,1.8,1.6,0.5,0.1,0.4,2025-07-17,10
Padania,1690.6252432877145,2.5,0.9,1.7,0.5,0.2,0.3,2019-06-08,10
Pakistan,1093.4820074823183,0.4,2.5,0.5,0.1,0.2,0.7,2026-06-01,10
Palau,1445.128724419132,2.0,15.0,0.0,0.0,0.0,1.0,1998-08-01,1
Palestine,1592.4286932547413,0.9,1.0,1.3,0.3,0.4,0.3,2025-12-11,10
Panama,1825.7008489499096,1.8,1.5,1.8,0.5,0.3,0.2,2026-06-03,10
Panjab,1587.655552938459,3.0,1.4,1.4,0.4,0.2,0.4,2019-12-29,10
Papua New Guinea,1469.0683549841992,1.8,1.5,1.8,0.5,0.3,0.2,2025-11-23,10
Paraguay,1892.7586536311942,1.0,1.0,1.4,0.4,0.2,0.4,2026-03-31,10
Parishes of Jersey,1513.9270851285141,3.6666666666666665,1.3333333333333333,2.0,0.6666666666666666,0.0,0.3333333333333333,2019-06-02,3
Peru,1739.0092724983635,0.5,1.4,0.4,0.0,0.4,0.6,2026-03-31,10
Philippines,1352.356296732023,2.5,1.1,2.3,0.7,0.2,0.1,2026-06-03,10
Poland,1748.5556357133398,1.7,1.3,1.8,0.5,0.3,0.2,2026-06-03,10
Portugal,1996.6910696129046,2.6,1.0,2.1,0.6,0.3,0.1,2026-03-31,10
Provence,1470.1471948854728,5.5,2.0,1.2,0.4,0.0,0.6,2013-06-28,10
Puerto Rico,1380.9975595033723,1.6,1.7,1.4,0.4,0.2,0.4,2026-03-28,10
Qatar,1557.7758878914435,0.9,1.7,0.7,0.1,0.4,0.5,2026-05-28,10
Quebec,1547.8548918954614,8.0,0.6666666666666666,2.0,0.6666666666666666,0.0,0.3333333333333333,2013-06-27,3
Raetia,1402.7018750284956,2.5,3.2,1.0,0.2,0.4,0.4,2023-08-06,10
Republic of Ireland,1720.7100981263068,1.7,0.9,1.8,0.5,0.3,0.2,2026-05-28,10
Republic of St. Pauli,1482.2991935792486,2.5,1.25,1.0,0.25,0.25,0.5,2006-06-03,4
Rhodes,1594.1519838681484,1.7,0.9,2.1,0.7,0.0,0.3,2011-06-27,10
Romani people,1464.0720362808179,1.8571428571428572,3.7142857142857144,0.8571428571428571,0.2857142857142857,0.0,0.7142857142857143,2016-05-16,7
Romania,1641.5470006877279,1.6,1.4,1.4,0.4,0.2,0.4,2026-06-02,10
Russia,1810.4594645852499,1.7,0.8,1.8,0.5,0.3,0.2,2026-05-28,10
Rwanda,1439.8177921074025,0.8,1.2,1.0,0.3,0.1,0.6,2026-03-30,10
Ryūkyū,1474.5138490529298,0.0,9.0,0.0,0.0,0.0,1.0,2016-11-26,1
Réunion,1603.670543930468,1.6,0.6,1.8,0.5,0.3,0.2,2023-09-02,10
Saare County,1347.4123125209794,1.6,2.1,1.1,0.3,0.2,0.5,2017-06-29,10
Saint Barthélemy,1424.4061381958913,2.5,3.0,1.3,0.4,0.1,0.5,2023-03-10,10
Saint Helena,1351.1752103318565,0.75,5.125,0.0,0.0,0.0,1.0,2023-07-13,8
Saint Kitts and Nevis,1290.7439634297357,2.1,2.7,1.3,0.4,0.1,0.5,2026-03-30,10
Saint Lucia,1244.8451176188348,0.9,3.1,0.9,0.3,0.0,0.7,2026-03-27,10
Saint Martin,1323.6255760783686,1.7,1.7,1.5,0.5,0.0,0.5,2026-03-29,10
Saint Pierre and Miquelon,1299.9437515961795,0.2857142857142857,11.142857142857142,0.0,0.0,0.0,1.0,2012-09-28,7
Saint Vincent and the Grenadines,1365.0254754139312,2.6,1.1,1.9,0.6,0.1,0.3,2026-03-29,10
Samoa,1278.4790674049284,1.2,3.0,1.2,0.4,0.0,0.6,2024-11-18,10
San Marino,864.7700421773187,0.3,3.8,0.1,0.0,0.1,0.9,2026-03-31,10
Sark,1330.6798001590807,0.0,17.5,0.0,0.0,0.0,1.0,2003-07-03,4
Saudi Arabia,1677.9949496637107,1.0,1.5,1.2,0.4,0.0,0.6,2026-05-30,10
Saugeais,1494.770089730928,1.0,1.0,1.0,0.0,1.0,0.0,2013-06-29,1
Scotland,1791.9363018387214,2.1,1.0,1.9,0.6,0.1,0.3,2026-05-30,10
Sealand,1487.9754227515114,2.4,2.5,1.6,0.4,0.4,0.2,2014-08-10,10
Seborga,1486.5374617563953,2.0,3.0,0.0,0.0,0.0,1.0,2014-08-10,1
Senegal,1899.5416623731187,1.9,0.9,2.2,0.7,0.1,0.2,2026-05-31,10
Serbia,1752.7087761742214,0.9,2.2,1.2,0.4,0.0,0.6,2026-06-04,10
Seychelles,1020.0993597869589,0.2,5.3,0.0,0.0,0.0,1.0,2025-10-14,10
Shetland,1513.517850592426,1.8,2.0,1.1,0.3,0.2,0.5,2025-07-17,10
Sierra Leone,1474.8742746420692,1.1,0.9,1.5,0.4,0.3,0.3,2026-03-30,10
Silesia,1503.803086001624,1.0,1.0,1.0,0.0,1.0,0.0,2006-12-09,1
Singapore,1316.2957873318442,1.8,1.1,1.8,0.5,0.3,0.2,2026-05-31,10
Sint Maarten,1327.5099584904071,1.3,2.2,1.7,0.5,0.2,0.3,2026-03-30,10
Slovakia,1693.9886348838534,1.3,1.4,1.8,0.6,0.0,0.4,2026-06-01,10
Slovenia,1691.395328783371,0.9,1.3,1.1,0.2,0.5,0.3,2026-06-04,10
Solomon Islands,1381.847899018818,1.6,2.9,0.6,0.2,0.0,0.8,2026-03-30,10
Somalia,1076.6140279192211,0.4,1.7,0.5,0.1,0.2,0.7,2025-11-26,10
Somaliland,1478.1535944119419,2.3333333333333335,3.3333333333333335,1.1666666666666667,0.3333333333333333,0.16666666666666666,0.5,2019-05-04,6
South Africa,1633.7491024971162,1.4,1.0,1.5,0.4,0.3,0.3,2026-05-29,10
South Korea,1879.5204424044503,1.5,1.2,1.9,0.6,0.1,0.3,2026-06-03,10
South Ossetia,1477.136825734706,1.3,2.2,1.4,0.4,0.2,0.4,2019-12-08,10
South Sudan,1269.322298569228,0.6,2.0,0.6,0.1,0.3,0.6,2025-11-25,10
Spain,2140.464275709865,2.7,0.5,2.2,0.6,0.4,0.0,2026-06-04,10
Sri Lanka,1047.6418551958964,0.9,1.5,1.3,0.4,0.1,0.5,2025-11-18,10
Sudan,1475.2327907556405,0.5,1.7,0.7,0.2,0.1,0.7,2026-01-03,10
Suriname,1592.8684653477378,1.3,1.4,1.0,0.2,0.4,0.4,2026-03-26,10
Surrey,1516.2199054293312,3.0,1.0,3.0,1.0,0.0,0.0,2018-05-06,1
Sweden,1728.709539863918,1.3,2.0,0.9,0.2,0.3,0.5,2026-06-04,10
Switzerland,1910.4816214439295,2.5,0.7,2.1,0.6,0.3,0.1,2026-05-31,10
Syria,1613.5240376846068,2.0,0.8,1.8,0.5,0.3,0.2,2025-12-11,10
Székely Land,1492.0705640575325,2.1,2.2,1.1,0.3,0.2,0.5,2023-07-02,10
Sápmi,1490.6408018544298,1.1,2.0,0.9,0.3,0.0,0.7,2023-07-16,10
